kata,label,probabilitas
galak,marah,0.0009595030153140157
ganda,marah,0.0014947889082684534
gantung,marah,0.0009595030153140157
garang,marah,0.00157367479745583
garda,marah,0.0009595030153140157
gaya,marah,0.0024454686505976948
gede,marah,0.0020749746090555545
gelar,marah,0.0009595030153140157
gelintir,marah,0.0009595030153140157
gerak,marah,0.0016582676316477688
geram,marah,0.0033941197046142187
gercep,marah,0.001565911445810893
gertak,marah,0.0014338471383166726
giat,marah,0.0009595030153140157
gila,marah,0.001968949712988109
gilir,marah,0.0013684786371769239
gimana,marah,0.0021667664732245165
goblok,marah,0.0018991043540151089
gue,marah,0.0009595030153140157
guna,marah,0.0009595030153140157
hadang,marah,0.0009595030153140157
hadap,marah,0.0009595030153140157
hadir,marah,0.0009595030153140157
hak,marah,0.0009595030153140157
halau,marah,0.0009595030153140157
hancur,marah,0.0009595030153140157
hantu,marah,0.0009595030153140157
haram,marah,0.0009595030153140157
harap,marah,0.0030610083303616547
harga,marah,0.0009595030153140157
haru,marah,0.0009595030153140157
hasil,marah,0.0009595030153140157
hati,marah,0.0017079850391787704
hebat,marah,0.0009595030153140157
henti,marah,0.0009595030153140157
heran,marah,0.0024084990507932543
hidup,marah,0.0009595030153140157
hilang,marah,0.0035876746861777035
himbau,marah,0.0009595030153140157
hoax,marah,0.0009595030153140157
hobi,marah,0.0014812841828976177
hormat,marah,0.002171452216592574
hubung,marah,0.0009595030153140157
hukum,marah,0.006613109713021644
humanis,marah,0.0009595030153140157
ikhlas,marah,0.001421170948846651
ikut,marah,0.0009595030153140157
ilangnya,marah,0.0013784841531993453
ilmu,marah,0.0009595030153140157
ilusi,marah,0.0015443745656938469
imbang,marah,0.0009595030153140157
indah,marah,0.0009595030153140157
individu,marah,0.0009595030153140157
indonesia,marah,0.0009595030153140157
informasi,marah,0.0009595030153140157
ini,marah,0.0009595030153140157
inovasi,marah,0.0009595030153140157
inovatif,marah,0.0009595030153140157
inspirasi,marah,0.0009595030153140157
instansi,marah,0.0009595030153140157
institusi,marah,0.001426203360182427
integritas,marah,0.001367069750321987
intel,marah,0.0009595030153140157
internal,marah,0.0009595030153140157
intervensi,marah,0.0009595030153140157
intimidasi,marah,0.0014812841828976177
investigasi,marah,0.0009595030153140157
ironis,marah,0.0014186356179964005
isa,marah,0.0009595030153140157
isi,marah,0.002082293598150503
itu,marah,0.0019880586543305078
iya,marah,0.001395431487519857
jabat,marah,0.0019166549492154745
jadi,marah,0.0009595030153140157
jaga,marah,0.0012793481219271216
jago,marah,0.0017927401493552405
jahat,marah,0.0012797802109831224
jajar,marah,0.0009595030153140157
jalan,marah,0.001561810280666792
jaman,marah,0.0009595030153140157
jamin,marah,0.0009595030153140157
janji,marah,0.0026313120340179597
